,R,rho,best
0,1,0.01,E
1,1,0.02,E
2,1,0.03,E
3,1,0.04,E
4,1,0.05,D
5,1,0.06,E
6,1,0.07,D
7,1,0.08,E
8,1,0.09,E
9,1,0.1,E
10,1,0.11,E
11,1,0.12,F
12,1,0.13,F
13,1,0.14,F
14,1,0.15,F
15,1,0.16,F
16,1,0.17,F
17,1,0.18,F
18,1,0.19,F
19,1,0.2,F
20,1,0.21,F
21,1,0.22,F
22,1,0.23,F
23,1,0.24,F
24,1,0.25,F
25,1,0.26,F
26,1,0.27,F
27,1,0.28,D
28,1,0.29,D
29,1,0.3,D
30,1,0.31,D
31,1,0.32,D
32,1,0.33,D
33,1,0.34,D
34,1,0.35,D
35,1,0.36,D
36,1,0.37,D
37,1,0.38,D
38,1,0.39,D
39,1,0.4,D
40,1,0.41,D
41,1,0.42,D
42,1,0.43,D
43,1,0.44,D
44,1,0.45,D
45,1,0.46,D
46,1,0.47,D
47,1,0.48,D
48,1,0.49,D
49,1,0.5,D
50,1,0.51,F
51,1,0.52,F
52,1,0.53,F
53,1,0.54,F
54,1,0.55,F
55,1,0.56,F
56,1,0.57,F
57,1,0.58,F
58,1,0.59,F
59,1,0.6,F
60,1,0.61,F
61,1,0.62,F
62,1,0.63,F
63,1,0.64,F
64,1,0.65,F
65,1,0.66,F
66,1,0.67,F
67,1,0.68,F
68,1,0.69,F
69,1,0.7,F
70,1,0.71,F
71,1,0.72,F
72,1,0.73,F
73,1,0.74,F
74,1,0.75,F
75,1,0.76,F
76,1,0.77,D
77,1,0.78,D
78,1,0.79,D
79,1,0.8,D
80,1,0.81,D
81,1,0.82,D
82,1,0.83,D
83,1,0.84,E
84,1,0.85,E
85,1,0.86,E
86,1,0.87,E
87,1,0.88,F
88,1,0.89,B
89,1,0.9,B
90,1,0.91,B
91,1,0.92,B
92,1,0.93,B
93,1,0.94,B
94,1,0.95,C
95,1,0.96,B
96,1,0.97,B
97,1,0.98,B
98,1,0.99,B
99,2,0.01,D
100,2,0.02,D
101,2,0.03,D
102,2,0.04,D
103,2,0.05,D
104,2,0.06,D
105,2,0.07,D
106,2,0.08,D
107,2,0.09,D
108,2,0.1,D
109,2,0.11,D
110,2,0.12,D
111,2,0.13,D
112,2,0.14,D
113,2,0.15,D
114,2,0.16,D
115,2,0.17,D
116,2,0.18,D
117,2,0.19,D
118,2,0.2,D
119,2,0.21,D
120,2,0.22,D
121,2,0.23,D
122,2,0.24,D
123,2,0.25,D
124,2,0.26,D
125,2,0.27,D
126,2,0.28,D
127,2,0.29,D
128,2,0.3,D
129,2,0.31,D
130,2,0.32,D
131,2,0.33,D
132,2,0.34,D
133,2,0.35,D
134,2,0.36,D
135,2,0.37,D
136,2,0.38,D
137,2,0.39,D
138,2,0.4,D
139,2,0.41,D
140,2,0.42,D
141,2,0.43,D
142,2,0.44,D
143,2,0.45,D
144,2,0.46,D
145,2,0.47,D
146,2,0.48,D
147,2,0.49,D
148,2,0.5,D
149,2,0.51,D
150,2,0.52,D
151,2,0.53,D
152,2,0.54,D
153,2,0.55,D
154,2,0.56,D
155,2,0.57,D
156,2,0.58,D
157,2,0.59,D
158,2,0.6,D
159,2,0.61,D
160,2,0.62,D
161,2,0.63,D
162,2,0.64,D
163,2,0.65,D
164,2,0.66,D
165,2,0.67,D
166,2,0.68,D
167,2,0.69,D
168,2,0.7,D
169,2,0.71,C
170,2,0.72,D
171,2,0.73,B
172,2,0.74,B
173,2,0.75,B
174,2,0.76,B
175,2,0.77,D
176,2,0.78,D
177,2,0.79,D
178,2,0.8,D
179,2,0.81,D
180,2,0.82,D
181,2,0.83,D
182,2,0.84,D
183,2,0.85,D
184,2,0.86,D
185,2,0.87,D
186,2,0.88,D
187,2,0.89,D
188,2,0.9,D
189,2,0.91,F
190,2,0.92,F
191,2,0.93,F
192,2,0.94,C
193,2,0.95,C
194,2,0.96,E
195,2,0.97,E
196,2,0.98,E
197,2,0.99,E
198,3,0.01,D
199,3,0.02,D
200,3,0.03,D
201,3,0.04,F
202,3,0.05,F
203,3,0.06,F
204,3,0.07,D
205,3,0.08,D
206,3,0.09,D
207,3,0.1,D
208,3,0.11,D
