,percentile,R,rho,sojourn_err,abs_sojourn_err,method
0,0.99,1,0.01,-0.24549549549549304,-1.0899999999999768,F
1,0.99,1,0.02,-0.24618736383442053,-1.1299999999999772,F
2,0.99,1,0.03,-0.24364406779660788,-1.1499999999999755,F
3,0.99,1,0.04,-0.22964509394571817,-1.0999999999999766,F
4,0.99,1,0.05,-0.20292887029288548,-0.9699999999999811,F
5,0.99,1,0.06,-0.18595041322313888,-0.8999999999999813,F
6,0.99,1,0.07,-0.1859999999999983,-0.9299999999999802,F
7,0.99,1,0.08,-0.17125984251968351,-0.8699999999999815,F
8,0.99,1,0.09,-0.14872798434442155,-0.7599999999999847,F
9,0.99,1,0.1,-0.13294797687861157,-0.6899999999999853,F
10,0.99,1,0.11,-0.11764705882352827,-0.6199999999999859,F
11,0.99,1,0.12,-0.09756097560975543,-0.5199999999999898,F
12,0.99,1,0.13,-0.07620817843866108,-0.40999999999999126,F
13,0.99,1,0.14,-0.06557377049180291,-0.3599999999999932,F
14,0.99,1,0.15,-0.04504504504504468,-0.24999999999999467,F
15,0.99,1,0.16,-0.03356890459363947,-0.18999999999999684,F
16,0.99,1,0.17,-0.025862068965517192,-0.1499999999999977,F
17,0.99,1,0.18,-0.015228426395938823,-0.0899999999999972,F
18,0.99,1,0.19,-0.022801302931595928,-0.13999999999999702,F
19,0.99,1,0.2,-0.012779552715655004,-0.07999999999999918,F
20,0.99,1,0.21,0.001574803149606428,0.010000000000000675,F
21,0.99,1,0.22,0.013953488372093065,0.08999999999999897,F
22,0.99,1,0.23,0.013574660633484208,0.08999999999999897,F
23,0.99,1,0.24,0.022222222222222077,0.1499999999999968,F
24,0.99,1,0.25,0.011428571428571356,0.0799999999999983,F
25,0.99,1,0.26,0.016806722689075276,0.11999999999999567,F
26,0.99,1,0.27,0.023383768913342484,0.16999999999999726,F
27,0.99,1,0.28,0.02284946236559126,0.16999999999999638,D
28,0.99,1,0.29,0.029139072847681947,0.2199999999999953,D
29,0.99,1,0.3,0.02990897269180749,0.22999999999999599,D
30,0.99,1,0.31,0.03057324840764302,0.239999999999994,D
31,0.99,1,0.32,0.031249999999999827,0.24999999999999467,D
32,0.99,1,0.33,0.03435582822085871,0.27999999999999403,D
33,0.99,1,0.34,0.031175059952037985,0.2599999999999927,D
34,0.99,1,0.35,0.032902467685076424,0.2799999999999958,D
35,0.99,1,0.36,0.029816513761467534,0.2599999999999927,D
36,0.99,1,0.37,0.030337078651684838,0.2699999999999907,D
37,0.99,1,0.38,0.03535911602209928,0.3199999999999932,D
38,0.99,1,0.39,0.035675675675675506,0.32999999999999297,D
39,0.99,1,0.4,0.03157894736842091,0.2999999999999936,D
40,0.99,1,0.41,0.03086419753086406,0.2999999999999936,D
41,0.99,1,0.42,0.036400404448938155,0.3599999999999923,D
42,0.99,1,0.43,0.03349753694581266,0.33999999999999275,D
43,0.99,1,0.44,0.020912547528517192,0.2199999999999971,D
44,0.99,1,0.45,0.01569713758079419,0.16999999999999815,D
45,0.99,1,0.46,0.014401440144014344,0.1599999999999966,D
46,0.99,1,0.47,0.008733624454148438,0.09999999999999787,D
47,0.99,1,0.48,0.005093378607809828,0.05999999999999872,D
48,0.99,1,0.49,0.0066334991708125795,0.0799999999999983,D
49,0.99,1,0.5,0.008914100486223922,0.11000000000000121,D
50,0.99,1,0.51,0.00396510705789069,0.05000000000000071,C
51,0.99,1,0.52,-0.01239349341595658,-0.1599999999999966,C
52,0.99,1,0.53,-0.02721088435374154,-0.3599999999999941,C
53,0.99,1,0.54,-0.03982300884955739,-0.5399999999999885,C
54,0.99,1,0.55,-0.0489560835133184,-0.6799999999999802,C
55,0.99,1,0.56,-0.05754385964912275,-0.8199999999999843,C
56,0.99,1,0.57,-0.06493506493506473,-0.9499999999999797,C
57,0.99,1,0.58,-0.06742323097463253,-1.0099999999999767,C
58,0.99,1,0.59,-0.0714749837556852,-1.0999999999999748,C
59,0.99,1,0.6,-0.07682619647355121,-1.2199999999999704,C
60,0.99,1,0.61,-0.08394160583942009,-1.380000000000047,C
61,0.99,1,0.62,-0.09197422378442688,-1.5700000000001548,C
62,0.99,1,0.63,-0.09461756373939166,-1.6700000000002593,C
63,0.99,1,0.64,-0.0934579439252482,-1.7000000000002693,C
64,0.99,1,0.65,-0.09351753453773991,-1.7600000000002787,C
65,0.99,1,0.66,-0.09291581108830904,-1.810000000000283,C
66,0.99,1,0.67,-0.08262393590386702,-1.6500000000002508,C
67,0.99,1,0.68,-0.07841239109391189,-1.6200000000002532,C
68,0.99,1,0.69,-0.07476635514019653,-1.6000000000002466,C
69,0.99,1,0.7,-0.07280898876405426,-1.6200000000002568,C
70,0.99,1,0.71,-0.07437661220981133,-1.730000000000274,C
71,0.99,1,0.72,-0.07594417077176584,-1.8500000000002927,C
72,0.99,1,0.73,-0.07207562032296973,-1.830000000000286,C
73,0.99,1,0.74,-0.06908267270668933,-1.8300000000002932,A
74,0.99,1,0.75,-0.07204610951009359,-2.000000000000309,A
75,0.99,1,0.76,-0.06975138121547647,-2.0200000000003193,A
76,0.99,1,0.77,-0.06965995378013155,-2.110000000000319,A
77,0.99,1,0.78,-0.078412995938776,-2.5100000000003924,A
